xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1763.8,-1763.8,468.05371063893193,460.05966484300546,466.6996594117814,458.9779003267019
-1762.8,-1762.8,468.0731710615153,460.07118640551624,466.71059737758213,458.98972520429055
-1761.8,-1761.8,468.092086558645,460.0825272591894,466.7211741371603,459.0013979282017
-1760.8,-1760.8,468.11075640616946,460.0937861815645,466.73139120358815,459.01292363061395
-1759.8,-1759.8,468.12899702313723,460.10498147516864,466.74129102643946,459.0242911526963
-1758.8,-1758.8,468.14688734514584,460.1160443707009,466.7508687878214,459.03546200036675
-1757.8,-1757.8,468.1645040919501,460.1270135564823,466.76016397123595,459.0464784020619
-1756.8,-1756.8,468.1817775517682,460.13791325140807,466.7691719477753,459.0573541108408
-1755.8,-1755.8,468.19874399749943,460.1487217389891,466.77786372990187,459.0681019470111
-1754.8,-1754.8,468.21524311648466,460.15948207412765,466.7863127727037,459.0787091813571
-1753.8,-1753.8,468.231528658141,460.17008859518575,466.7945631069663,459.0891937456284
-1752.8,-1752.8,468.24736088480887,460.18047316661404,466.80267611955196,459.0995561638412
-1751.8,-1751.8,468.2627961248207,460.19079176095005,466.8106300251524,459.10974501412693
-1750.8,-1750.8,468.2778512162176,460.2010396598919,466.81836368830835,459.11969326056845
-1749.8,-1749.8,468.2925028682845,460.21118494953157,466.82595716804957,459.1294874164965
-1748.8,-1748.8,468.3068079868682,460.2211972141103,466.8334125140016,459.1391373851442
-1747.8,-1747.8,468.32081000832034,460.2311097025244,466.8407226946263,459.14864902049857
-1746.8,-1746.8,468.3343570687654,460.2409257449664,466.84794489992174,459.1580261931942
-1745.8,-1745.8,468.3473333931439,460.25062009338797,466.8549984815641,459.16726532395523
-1744.8,-1744.8,468.3600861887683,460.260138021389,466.8619050670665,459.17634820963997
-1743.8,-1743.8,468.37251097892806,460.2695232780052,466.86873501005107,459.1852846237995
-1742.8,-1742.8,468.3846040726947,460.27876904187514,466.8754619075344,459.1940834906167
-1741.8,-1741.8,468.3963716535803,460.287878897774,466.88209476845157,459.2027250785444
-1740.8,-1740.8,468.4076491362986,460.2966753477628,466.8885960637862,459.2112417246457
-1739.8,-1739.8,468.41838548949426,460.3053199608913,466.8949460088379,459.21962369975074
-1738.8,-1738.8,468.42879665352905,460.3138157756483,466.901222574002,459.2278419904229
-1737.8,-1737.8,468.43888884214107,460.32207142814786,466.9074401921372,459.23594106019215
-1736.8,-1736.8,468.44860215577546,460.33002772833674,466.9135863170438,459.24392752509476
-1735.8,-1735.8,468.4579601998944,460.3377839506257,466.9196309447056,459.251803862229
-1734.8,-1734.8,468.46660884741425,460.3452424861181,466.9255529684164,459.25987815660943
-1733.8,-1733.8,468.4744780457055,460.3523340798008,466.93134982236035,459.26780572331944
-1732.8,-1732.8,468.48175519664454,460.3590733488859,466.93700332885066,459.275533925015
-1731.8,-1731.8,468.4885755209134,460.36536126553034,466.94256867251823,459.2831293136711
-1730.8,-1730.8,468.49490536749147,460.3713333320554,466.94801721808074,459.29058952546023
-1729.8,-1729.8,468.5008414468271,460.37706422110847,466.9532292348933,459.297906654808
-1728.8,-1728.8,468.50636162241057,460.38254958834943,466.958341701595,459.3051094130388
-1727.8,-1727.8,468.51118065099786,460.38781813693214,466.9633425473462,459.3121923686983
-1726.8,-1726.8,468.51561466257823,460.39285619217065,466.96821738274434,459.31916793126754
-1725.8,-1725.8,468.5195486107782,460.39755183761116,466.9729590554811,459.32604185863335
-1724.8,-1724.8,468.5229299843288,460.4019326433831,466.9775602197162,459.3327998822659
-1723.8,-1723.8,468.52582525615367,460.4060826913291,467.0054774506352,459.3394578922354
-1722.8,-1722.8,468.52817776922836,460.4100023629406,467.01153287041694,459.3460067970111
-1721.8,-1721.8,468.5301309337771,460.41368879525777,467.01755106290085,459.3524566183838
-1720.8,-1720.8,468.53167101461713,460.41694186212743,467.0235376505926,459.358805704169
-1719.8,-1719.8,468.53277618008144,460.41988299103974,467.02948426393385,459.365053588959
-1718.8,-1718.8,468.5334140520568,460.4225065785311,467.03515963620043,459.37119164396876
-1717.8,-1717.8,468.53361422879124,460.42485738762133,467.04072097055666,459.37722493172623
-1716.8,-1716.8,468.533378563192,460.42693973455766,467.04625618163357,459.3831667324606
-1715.8,-1715.8,468.5325733662578,460.42877227857394,467.0517387604399,459.38901126727626
-1714.8,-1714.8,468.5313453595705,460.43033956790384,467.0569997791753,459.3947872347663
-1713.8,-1713.8,468.529583706625,460.43161127906075,467.06216504892024,459.4004875312078
-1712.8,-1712.8,468.52728936309103,460.4326157850527,467.06715554706767,459.4061167108924
-1711.8,-1711.8,468.5245594362176,460.43336074864385,467.072022459797,459.41169292945966
-1710.8,-1710.8,468.52141284966274,460.43385889380403,467.07655413137513,459.4172009878963
-1709.8,-1709.8,468.5179289241938,460.43410407256664,467.0810125042708,459.4226012987516
